Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2021-11-21 19:15:26,2,1,Milan,Sean,0,0,0,0,0,0,0,1,0,1,0,14.012261,-0.10934949,14.011834,0.8668639,0.71073556,0.48816568,0.71172965
2021-11-21 19:15:35,2,1,Sean,Milan,0,0,0,0,0,0,0,0,1,0,0,10.42165,-8.091449,-6.5680475,0.48816568,0.71172965,0.66568047,0.7852883
2021-11-21 19:15:41,2,1,Milan,Sean,0,0,0,0,0,0,0,0,0,0,1,8.528514,4.701792,-7.115385,0.66568047,0.7852883,0.8579882,0.7425447
2021-11-21 19:15:50,2,1,Sean,Milan,0,0,0,0,0,0,0,0,1,1,0,11.530037,-3.936385,10.837279,0.8579882,0.7425447,0.56508875,0.77833
2021-11-21 19:16:17,2,1,Milan,Matthias,0,0,0,0,0,0,0,0,0,0,0,13.379682,11.043741,7.553254,0.56508875,0.77833,0.36094674,0.6779324
2021-11-21 19:16:20,2,1,Matthias,Kevin,1,1,0,0,0,0,1,0,0,0,0,38.829285,37.28628,-10.837277,0.36094674,0.6779324,0.65384614,0.3389662
2021-11-21 19:19:21,3,1,Patrick,Joseph,0,0,0,0,0,0,0,0,0,0,0,14.627995,13.886683,-4.5976334,0.5739645,0.7137177,0.69822484,0.5874751
2021-11-21 19:19:27,3,1,Joseph,Dale,0,0,0,0,0,0,0,0,0,0,0,8.622233,8.310135,-2.2988179,0.69822484,0.5874751,0.76035506,0.51192844
2021-11-21 19:19:38,3,1,Dale,Kaden,0,0,0,0,0,0,0,0,0,0,0,9.890829,-0.87475,9.852072,0.76035506,0.51192844,0.49408284,0.5198807
2021-11-21 19:19:46,3,1,Kaden,Joseph,0,0,0,0,0,0,0,0,0,0,0,9.860741,7.544731,-6.3491125,0.49408284,0.5198807,0.66568047,0.45129225
2021-11-21 19:19:55,3,1,Joseph,Kaden,0,0,0,0,0,0,0,0,1,0,0,8.123687,-1.9681925,7.881656,0.66568047,0.45129225,0.45266274,0.4691849
2021-11-21 19:20:25,3,1,Kaden,,1,1,0,0,0,0,0,0,0,0,0,21.167166,21.103382,-1.6420119,0.45266274,0.4691849,0.49704143,0.27733597
2021-11-21 19:21:12,3,2,Patrick,Grant,0,0,0,0,0,0,0,0,0,0,0,10.501268,5.795228,8.757396,0.5325444,0.72067595,0.295858,0.66799206
2021-11-21 19:21:15,3,2,Grant,Dale,0,0,0,0,0,0,0,0,0,0,1,10.739443,8.966206,5.911243,0.295858,0.66799206,0.13609467,0.5864811
2021-11-21 19:21:18,3,2,Dale,Joseph,0,0,0,0,0,0,0,0,0,1,0,9.854767,4.920478,-8.538462,0.13609467,0.5864811,0.3668639,0.5417495
2021-11-21 19:21:20,3,2,Joseph,Grant,0,0,0,0,0,0,0,0,0,0,0,7.4074025,2.4055643,-7.005917,0.3668639,0.5417495,0.556213,0.5198807
2021-11-21 19:21:47,3,2,Grant,Tommy,0,0,0,0,0,0,0,0,0,0,0,9.985202,4.3737564,-8.976331,0.556213,0.5198807,0.79881656,0.4801193
2021-11-21 19:21:50,3,2,Tommy,Grant,0,0,0,0,0,0,0,1,0,0,0,11.713528,-0.10934293,11.713017,0.79881656,0.4801193,0.4822485,0.4811133
2021-11-21 19:22:19,3,2,Grant,Kaden,1,1,1,0,0,0,0,0,0,0,0,10.135038,8.310139,-5.8017745,0.4822485,0.4811133,0.6390532,0.4055666
2021-11-21 19:23:35,3,3,Patrick,Grant,0,0,0,0,0,0,0,0,0,0,0,9.41674,-0.21868587,-9.414201,0.25739646,0.79025847,0.5118343,0.7922465
2021-11-21 19:23:50,3,3,Grant,Kaden,0,0,0,0,0,0,0,0,0,0,0,15.379874,14.10537,-6.1301775,0.5118343,0.7922465,0.6775148,0.6640159
2021-11-21 19:24:05,3,3,Kaden,Grant,1,1,0,0,0,0,0,0,0,0,0,14.723173,13.667992,-5.4733734,0.6775148,0.6640159,0.8254438,0.5397614
2021-11-21 19:25:35,3,4,Joseph,Patrick,0,0,0,0,0,0,0,0,0,0,0,8.968872,8.966199,-0.21893609,0.69822484,0.6978131,0.70414203,0.6163022
2021-11-21 19:25:46,3,4,Patrick,Angel,0,0,0,0,0,0,0,0,1,0,0,8.782373,-1.5308142,8.64793,0.70414203,0.6163022,0.4704142,0.6302187
2021-11-21 19:25:53,3,4,Angel,Matthias,0,0,0,0,0,0,0,0,0,0,0,8.750253,8.747513,0.21893498,0.4704142,0.6302187,0.46449703,0.55069584
2021-11-21 19:26:26,3,4,Matthias,Joseph,0,0,0,0,0,0,0,0,0,0,0,10.869284,8.310142,-7.005917,0.46449703,0.55069584,0.65384614,0.4751491
2021-11-21 19:26:35,3,4,Joseph,Patrick,0,0,0,0,0,0,0,0,1,0,0,7.090732,-1.0934391,7.005917,0.65384614,0.4751491,0.46449703,0.48508945
2021-11-21 19:26:40,3,4,Patrick,Matthias,0,0,0,0,0,0,0,0,0,0,0,7.168744,6.669978,-2.6272197,0.46449703,0.48508945,0.535503,0.4244533
2021-11-21 19:26:47,3,4,Matthias,Patrick,0,0,0,0,0,0,0,0,0,0,0,8.907037,5.357853,7.115385,0.535503,0.4244533,0.34319526,0.37574553
2021-11-21 19:26:59,3,4,Patrick,Matthias,0,0,0,0,0,0,0,0,1,0,0,7.639095,-4.701789,6.02071,0.34319526,0.37574553,0.18047337,0.41848907
2021-11-21 19:27:07,3,4,Matthias,Patrick,0,0,0,0,0,0,0,0,1,0,0,7.439099,-6.013917,-4.378698,0.18047337,0.41848907,0.29881656,0.47316104
2021-11-21 19:27:11,3,4,Patrick,Matthias,0,0,0,0,0,0,0,0,0,0,0,7.504054,6.013917,-4.4881654,0.29881656,0.47316104,0.42011833,0.41848907
2021-11-21 19:27:26,3,4,Matthias,Tommy,0,0,0,0,0,0,0,0,0,0,0,16.845749,15.85487,-5.6923075,0.42011833,0.41848907,0.5739645,0.2743539
2021-11-21 19:27:34,3,4,Tommy,Grant,0,0,0,0,0,0,0,0,0,0,0,7.7474985,4.5924473,6.239644,0.5739645,0.2743539,0.40532544,0.23260437
2021-11-21 19:27:40,3,4,Grant,Tommy,0,0,0,0,0,0,0,0,0,0,0,6.648744,2.296223,-6.239644,0.40532544,0.23260437,0.5739645,0.21172962
2021-11-21 19:27:59,3,4,Tommy,Angel,0,0,0,0,0,0,0,0,1,0,0,10.701611,-6.451292,8.538461,0.5739645,0.21172962,0.34319526,0.27037773
2021-11-21 19:28:06,3,4,Angel,Grant,0,0,0,0,0,0,0,0,1,0,0,7.4428835,-7.3260455,-1.3136098,0.34319526,0.27037773,0.37869823,0.33697814
2021-11-21 19:28:10,3,4,Grant,Matthias,0,0,0,0,0,0,0,0,0,0,0,9.673742,5.904574,-7.662721,0.37869823,0.33697814,0.5857988,0.2833002
2021-11-21 19:28:18,3,4,Matthias,Grant,0,0,0,0,0,0,0,0,0,0,0,8.133961,4.4831014,6.786981,0.5857988,0.2833002,0.40236688,0.24254473
2021-11-21 19:28:27,3,4,Grant,Tommy,0,0,0,0,0,0,0,0,0,0,0,8.746906,1.3121266,8.647929,0.40236688,0.24254473,0.16863905,0.2306163
2021-11-21 19:28:36,3,4,Tommy,Kaden,1,1,1,1,0,0,0,0,0,0,0,10.502153,10.497018,0.32840246,0.16863905,0.2306163,0.1597633,0.13518886
2021-11-21 19:29:34,3,5,Patrick,Angel,0,0,0,0,0,0,0,0,0,0,0,11.6420355,11.590456,1.0946743,0.18047337,0.78827035,0.15088758,0.6829026
2021-11-21 19:29:55,3,5,Angel,Joseph,1,0,1,0,0,0,0,0,0,0,1,13.999872,13.99602,0.32840246,0.15088758,0.6829026,0.14201184,0.555666
2021-11-21 19:30:53,3,6,Angel,Tommy,0,0,0,0,0,0,0,0,0,0,1,20.37344,20.009941,3.831361,0.20118344,0.79920477,0.09763314,0.6172962
2021-11-21 19:30:57,3,6,Tommy,Angel,0,0,0,0,0,0,0,1,0,1,0,13.793331,0.10934293,-13.792898,0.09763314,0.6172962,0.4704142,0.6163022
2021-11-21 19:31:05,3,6,Angel,Grant,0,0,0,0,0,0,0,0,1,0,0,8.141639,-4.811135,-6.5680485,0.4704142,0.6163022,0.647929,0.6600398
2021-11-21 19:31:09,3,6,Grant,Matthias,0,0,0,0,0,0,0,0,0,0,1,12.246706,9.184892,-8.100591,0.647929,0.6600398,0.8668639,0.57654077
2021-11-21 19:31:16,3,6,Matthias,Joseph,1,1,0,0,0,0,1,0,0,1,0,38.31438,34.771374,16.091717,0.8668639,0.57654077,0.43195266,0.26043737
2021-11-21 19:32:02,3,7,Patrick,Kaden,0,0,0,0,0,0,0,0,1,0,0,11.214697,-3.6083496,10.618344,0.74556214,0.40357852,0.45857987,0.4363817
2021-11-21 19:32:07,3,7,Kaden,Matthias,0,0,0,0,0,0,0,1,0,0,1,13.681519,4.8111315,12.807692,0.45857987,0.4363817,0.112426035,0.39264414
2021-11-21 19:32:15,3,7,Matthias,Kaden,0,0,0,0,0,0,0,0,0,1,1,9.851544,9.731609,1.5325444,0.112426035,0.39264414,0.07100592,0.30417496
2021-11-21 19:32:24,3,7,Kaden,Tommy,1,1,0,1,0,0,0,0,0,1,1,19.57532,19.572565,0.32840234,0.07100592,0.30417496,0.06213018,0.12624255
2021-11-21 19:33:51,3,8,Patrick,Joseph,0,0,0,0,0,0,0,0,0,0,1,9.636603,7.4353914,-6.1301775,0.7248521,0.75049704,0.89053255,0.6829026
2021-11-21 19:33:58,3,8,Joseph,Patrick,0,0,0,0,0,0,0,0,0,1,0,6.8141484,3.3896637,5.9112434,0.89053255,0.6829026,0.7307692,0.65208745
2021-11-21 19:34:07,3,8,Patrick,Angel,0,0,0,0,0,0,0,0,0,0,0,9.414201,0.0,9.414201,0.7307692,0.65208745,0.47633135,0.65208745
2021-11-21 19:34:12,3,8,Angel,Grant,0,0,0,0,0,0,0,0,0,0,1,16.218676,9.950298,12.807693,0.47633135,0.65208745,0.13017751,0.5616302
2021-11-21 19:34:19,3,8,Grant,Angel,0,0,0,0,0,0,0,0,0,1,1,11.355866,10.934392,3.0650887,0.13017751,0.5616302,0.04733728,0.46222663
2021-11-21 19:34:26,3,8,Angel,Tommy,0,0,0,0,0,0,0,0,0,1,1,12.495934,12.465209,-0.87573963,0.04733728,0.46222663,0.07100592,0.34890655
2021-11-21 19:34:36,3,8,Tommy,Angel,0,0,0,0,0,0,0,0,1,1,0,9.858903,-3.8270388,-9.085799,0.07100592,0.34890655,0.31656805,0.3836978
2021-11-21 19:34:41,3,8,Angel,Grant,0,0,0,0,0,0,0,0,1,0,0,10.940938,-3.7176957,-10.28994,0.31656805,0.3836978,0.5946745,0.41749504
2021-11-21 19:35:41,3,8,Grant,Milan,0,0,0,0,0,0,0,0,0,0,1,10.979752,4.3737597,-10.071007,0.5946745,0.41749504,0.8668639,0.3777336
2021-11-21 19:35:44,3,8,Milan,Matthias,1,1,1,0,0,0,0,0,0,1,1,9.40931,9.403578,0.32840192,0.8668639,0.3777336,0.8579882,0.29224652
2021-11-21 19:37:07,4,1,Sean,Milan,0,0,0,0,0,0,0,0,0,0,0,6.9042454,0.32803535,6.896448,0.6390532,0.693837,0.45266274,0.69085485
2021-11-21 19:37:20,4,1,Milan,Sean,0,0,0,0,0,0,0,0,1,0,0,7.807503,-4.0457277,-6.677514,0.45266274,0.69085485,0.6331361,0.7276342
2021-11-21 19:37:32,4,1,Sean,Kevin,1,1,0,1,0,0,1,0,0,0,0,57.952698,57.952286,-0.21893388,0.6331361,0.7276342,0.6390532,0.20079523
2021-11-21 19:38:36,4,2,Sean,Matthias,0,0,0,1,1,0,0,0,0,1,1,7.7911544,7.76342,0.65680385,0.8994083,0.24950299,0.8816568,0.17892644
2021-11-21 19:40:26,5,1,Shrav,Patrick,0,0,0,0,0,0,0,0,1,0,0,11.363386,-2.6242566,11.056211,0.7071006,0.7912525,0.40828404,0.8151094
