Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2021-11-23 14:29:14,1,1,Sam,Sean,0,0,0,0,0,0,0,1,0,1,0,14.980558,6.9980135,13.245563,0.8786982,0.8250497,0.52071005,0.7614314
2021-11-23 14:29:16,1,1,Sean,Will Stone,0,0,0,0,0,0,0,0,0,0,0,13.836101,11.37177,-7.881657,0.52071005,0.7614314,0.7337278,0.65805167
2021-11-23 14:29:18,1,1,Will Stone,Kevin,1,1,0,0,0,0,1,0,0,0,0,38.290436,38.05169,4.269232,0.7337278,0.65805167,0.6183432,0.31212723
2021-11-23 14:31:08,2,1,Milan,Sean,0,0,0,0,0,0,0,0,0,0,0,16.208647,13.777334,8.538461,0.8224852,0.95427436,0.591716,0.82902586
2021-11-23 14:31:16,2,1,Sean,Milan,0,0,0,0,0,0,0,0,1,0,1,10.54554,-1.7495,-10.399406,0.591716,0.82902586,0.87278104,0.8449304
2021-11-23 14:31:23,2,1,Milan,Matthias,0,0,0,0,0,0,0,0,0,1,0,15.423833,14.10537,6.239643,0.87278104,0.8449304,0.70414203,0.7166998
2021-11-23 14:31:28,2,1,Matthias,Kevin,1,0,1,0,0,0,0,0,0,0,0,16.14645,16.073555,-1.5325438,0.70414203,0.7166998,0.74556214,0.57057655
2021-11-23 14:33:41,3,1,Angel,Sean,0,0,0,0,0,0,0,1,0,0,0,11.789107,3.0616283,11.384616,0.7692308,0.72067595,0.46153846,0.69284296
2021-11-23 14:33:51,3,1,Sean,Milan,0,0,0,0,0,0,0,0,0,0,0,19.43345,16.620283,-10.071006,0.46153846,0.69284296,0.7337278,0.5417495
2021-11-23 14:34:09,3,1,Milan,Angel,0,0,0,0,0,0,0,1,0,0,0,15.324623,-5.685885,14.230769,0.7337278,0.5417495,0.34911242,0.59343934
2021-11-23 14:34:14,3,1,Angel,Matthias,0,0,0,0,0,0,0,0,0,0,0,17.707495,15.198805,-9.085798,0.34911242,0.59343934,0.5946745,0.45526838
2021-11-23 14:34:22,3,1,Matthias,Sean,0,0,0,0,0,0,0,1,0,0,0,15.403524,-5.029821,14.559171,0.5946745,0.45526838,0.20118344,0.500994
2021-11-23 14:34:31,3,1,Sean,Matthias,0,0,0,0,0,0,0,1,0,0,0,14.755104,-7.872763,-12.479291,0.20118344,0.500994,0.53846157,0.5725646
2021-11-23 14:34:37,3,1,Matthias,Patrick,0,0,0,0,0,0,0,1,0,0,1,16.374575,5.4671926,15.434913,0.53846157,0.5725646,0.12130178,0.52286285
2021-11-23 14:34:43,3,1,Patrick,Kevin,0,0,0,0,0,0,0,0,0,1,0,17.946033,11.481116,-13.792899,0.12130178,0.52286285,0.49408284,0.41848907
2021-11-23 14:34:53,3,1,Kevin,Angel,0,0,0,0,0,1,0,0,0,0,0,15.449535,11.809145,-9.961538,0.49408284,0.41848907,0.7633136,0.3111332
2021-11-23 14:35:00,3,1,Angel,Patrick,0,0,0,1,1,0,1,0,0,0,0,24.320744,22.087475,10.180473,0.7633136,0.3111332,0.48816568,0.11033797
