Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2021-11-21 20:58:07,1,1,Milan,Joseph,0,0,0,0,0,0,0,1,0,0,1,16.358456,6.779324,14.887573,0.51775146,0.4075547,0.115384616,0.34592447
2021-11-21 20:58:09,1,1,Joseph,Milan,0,0,0,0,0,0,0,1,0,1,0,12.0038805,-1.312125,-11.931952,0.115384616,0.34592447,0.43786982,0.35785288
2021-11-21 20:58:13,1,1,Milan,Angel,0,0,0,0,0,0,0,0,0,0,0,11.660675,5.685885,-10.180474,0.43786982,0.35785288,0.71301776,0.306163
2021-11-21 20:58:16,1,1,Angel,Milan,0,0,0,0,0,1,0,1,0,0,0,11.992421,-1.2027854,11.931952,0.71301776,0.306163,0.39053255,0.31709743
2021-11-21 20:58:20,1,1,Milan,Joseph,0,0,0,1,1,0,0,0,0,0,1,17.147688,14.542745,9.085799,0.39053255,0.31709743,0.14497042,0.18489066
2021-11-21 20:59:45,2,1,Milan,Grant,1,1,0,0,0,0,0,1,0,1,0,19.039871,-1.9681892,18.93787,1.0,0.4244533,0.48816568,0.44234592
2021-11-21 21:00:54,3,1,Sean,Will Stone,0,0,0,0,0,0,0,0,0,0,0,14.5557165,11.37177,-9.085799,0.49112427,0.6252485,0.7366864,0.52186877
2021-11-21 21:01:02,3,1,Will Stone,Sam,0,0,0,0,0,0,0,0,1,0,0,10.1679945,-2.5149136,9.852072,0.7366864,0.52186877,0.4704142,0.5447316
2021-11-21 21:01:12,3,1,Sam,Will Stone,0,0,0,0,0,0,0,0,1,0,0,9.6078,-9.403578,1.9704137,0.4704142,0.5447316,0.41715977,0.6302187
2021-11-21 21:01:16,3,1,Will Stone,Sean,0,0,0,0,0,0,0,0,0,0,0,11.671446,7.326042,9.085799,0.41715977,0.6302187,0.17159763,0.5636183
2021-11-21 21:01:20,3,1,Sean,Kevin,0,0,0,0,0,0,0,0,0,0,0,17.063093,12.902587,-11.165681,0.17159763,0.5636183,0.4733728,0.44632205
2021-11-21 21:01:30,3,1,Kevin,Milan,0,0,0,0,0,0,0,0,0,0,0,14.114567,11.4811125,-8.210058,0.4733728,0.44632205,0.69526625,0.3419483
2021-11-21 21:01:39,3,1,Milan,Kevin,0,0,0,0,0,0,0,0,0,0,0,10.727101,9.840953,-4.269232,0.69526625,0.3419483,0.8106509,0.2524851
2021-11-21 21:01:49,3,1,Kevin,Milan,0,0,0,0,0,0,0,1,0,0,0,12.346116,-3.1709745,11.931952,0.8106509,0.2524851,0.48816568,0.28131214
2021-11-21 21:02:16,3,1,Milan,Angel,1,1,0,1,0,0,0,0,0,0,0,17.334673,12.5745535,11.931952,0.48816568,0.28131214,0.16568047,0.16699801
2021-11-21 21:02:50,3,2,Sean,Milan,0,0,0,0,0,0,0,0,0,1,0,13.369644,12.902584,3.5029576,0.9408284,0.77435386,0.84615386,0.65705764
2021-11-21 21:02:57,3,2,Milan,Sean,0,0,0,0,0,0,0,1,0,0,0,12.960546,-3.4990067,12.479291,0.84615386,0.65705764,0.5088757,0.6888668
