Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2021-11-23 13:23:32,1,1,Dylan,Angel,0,0,0,0,0,0,0,1,0,1,0,15.248696,-2.0775354,-15.106508,0.02366864,0.39860836,0.43195266,0.41749504
2021-11-23 13:23:34,1,1,Angel,Grant,0,0,0,0,0,1,0,0,0,0,0,9.844958,7.872763,-5.9112434,0.43195266,0.41749504,0.591716,0.34592447
2021-11-23 13:23:35,1,1,Grant,Dale,0,0,0,1,1,0,0,0,0,0,0,17.82234,16.292248,-7.224851,0.591716,0.34592447,0.78698224,0.19781312
2021-11-23 13:24:49,3,1,Sean,Matthias,0,0,0,0,0,0,0,0,0,0,0,15.190229,14.98012,-2.5177517,0.6331361,0.7166998,0.70118344,0.5805169
2021-11-23 13:24:57,3,1,Matthias,Sean,0,0,0,0,0,0,0,0,1,0,0,10.036341,-4.701792,8.866864,0.70118344,0.5805169,0.46153846,0.62326044
2021-11-23 13:25:01,3,1,Sean,Robin,0,0,0,0,0,0,0,0,0,0,0,13.597431,12.1371765,-6.1301785,0.46153846,0.62326044,0.62721896,0.51292247
2021-11-23 13:25:04,3,1,Robin,Kevin,1,1,0,0,0,0,0,0,0,0,0,13.5914345,11.37177,-7.443785,0.62721896,0.51292247,0.82840234,0.40954274
2021-11-23 13:25:36,3,2,Matthias,Sam,0,0,0,0,0,0,0,1,0,0,0,13.411682,3.6083496,12.91716,0.75739646,0.6759443,0.40828404,0.64314115
2021-11-23 13:25:38,3,2,Sam,Will Stone,0,0,0,0,0,0,0,0,0,0,0,10.990046,7.5447345,7.9911246,0.40828404,0.64314115,0.1923077,0.57455266
2021-11-23 13:25:45,3,2,Will Stone,Sean,0,0,0,0,0,0,0,0,0,0,0,11.943092,11.918485,0.7662724,0.1923077,0.57455266,0.17159763,0.4662028
2021-11-23 13:25:54,3,2,Sean,Sam,0,0,0,0,0,0,0,1,0,0,0,12.436872,-5.2485065,-11.275147,0.17159763,0.4662028,0.47633135,0.5139165
2021-11-23 13:26:03,3,2,Sam,Sean,0,0,0,0,0,0,0,0,0,0,0,8.799832,7.216699,-5.0355034,0.47633135,0.5139165,0.61242604,0.44831014
2021-11-23 13:26:33,3,2,Sean,Matthias,1,1,0,1,0,0,1,0,0,0,0,31.219149,28.757454,12.1508875,0.61242604,0.44831014,0.28402367,0.18687873
2021-11-23 13:27:29,3,3,Milan,Matthias,0,0,0,0,0,0,0,0,0,0,0,12.267786,10.497017,-6.349111,0.65976334,0.5735586,0.83136094,0.4781312
2021-11-23 13:27:32,3,3,Matthias,Will Stone,0,0,0,0,0,1,0,0,0,0,0,9.856162,9.840953,-0.547338,0.83136094,0.4781312,0.84615386,0.388668
2021-11-23 13:27:40,3,3,Will Stone,Robin,0,0,0,1,1,0,1,0,0,0,0,30.488295,30.069582,5.0355034,0.84615386,0.388668,0.71005917,0.11530815
2021-11-23 13:29:09,5,1,Sean,Milan,0,0,0,0,0,0,0,0,0,0,0,11.593812,6.451292,9.633136,0.5325444,0.6739563,0.27218935,0.61530817
2021-11-23 13:29:13,5,1,Milan,Matthias,0,0,0,0,0,0,0,1,0,0,0,14.721634,7.982106,-12.369822,0.27218935,0.61530817,0.60650885,0.54274356
2021-11-23 13:29:23,5,1,Matthias,Sam,0,0,0,0,0,0,0,0,1,0,0,10.004287,-5.029821,8.647928,0.60650885,0.54274356,0.37278107,0.5884692
2021-11-23 13:29:31,5,1,Sam,Matthias,0,0,0,0,0,0,0,0,1,0,0,8.460432,-8.200792,2.0798817,0.37278107,0.5884692,0.31656805,0.66302186
2021-11-23 13:29:37,5,1,Matthias,Kevin,0,0,0,0,0,1,0,0,0,0,0,16.14842,8.747513,-13.573963,0.31656805,0.66302186,0.6834319,0.583499
2021-11-23 13:29:48,5,1,Kevin,Milan,0,0,0,1,1,0,1,0,0,0,0,49.999557,49.860836,3.7218914,0.6834319,0.583499,0.58284026,0.13021868
2021-11-23 13:31:00,6,1,Kaden,Joseph,0,0,0,0,0,0,0,0,0,0,0,10.679578,8.966203,-5.8017755,0.6301775,0.41053677,0.78698224,0.32902583
2021-11-23 13:31:04,6,1,Joseph,Angel,0,0,0,0,0,0,0,0,0,0,1,9.851135,9.075545,-3.8313618,0.78698224,0.32902583,0.89053255,0.24652088
2021-11-23 13:31:08,6,1,Angel,Kaden,1,1,0,1,0,0,0,0,0,1,0,13.037694,11.262425,6.5680475,0.89053255,0.24652088,0.71301776,0.14413519
2021-11-23 13:32:12,6,2,Grant,Kaden,0,0,0,0,0,0,0,1,0,0,0,15.918286,-1.2027854,15.87278,0.83136094,0.49900597,0.40236688,0.5099404
2021-11-23 13:32:16,6,2,Kaden,Grant,0,0,0,0,0,0,0,0,1,0,0,10.116361,-6.341943,-7.881657,0.40236688,0.5099404,0.61538464,0.5675944
2021-11-23 13:32:19,6,2,Grant,Angel,0,0,0,0,0,0,0,0,0,0,0,8.051492,0.98409295,7.991125,0.61538464,0.5675944,0.39940828,0.5586481
2021-11-23 13:32:21,6,2,Angel,Jared,0,0,0,0,0,0,0,0,0,0,1,15.817649,11.918488,10.399407,0.39940828,0.5586481,0.1183432,0.45029822
2021-11-23 13:32:25,6,2,Jared,Robin,0,0,0,0,0,0,0,0,0,1,0,13.196611,7.9821095,-10.508876,0.1183432,0.45029822,0.40236688,0.3777336
2021-11-23 13:32:34,6,2,Robin,Grant,0,0,0,0,0,0,0,0,1,0,0,8.277959,-5.904574,-5.8017755,0.40236688,0.3777336,0.5591716,0.43141153
2021-11-23 13:32:40,6,2,Grant,Kaden,0,0,0,0,0,0,0,0,0,0,0,13.77035,9.731609,-9.742603,0.5591716,0.43141153,0.8224852,0.34294236
2021-11-23 13:32:45,6,2,Kaden,Shrav,0,0,0,0,0,0,0,0,0,0,0,7.442637,7.435388,-0.32840192,0.8224852,0.34294236,0.83136094,0.27534792
2021-11-23 13:32:49,6,2,Shrav,Grant,1,1,0,1,0,0,0,0,0,0,0,17.50051,17.49503,-0.43786997,0.83136094,0.27534792,0.84319526,0.116302185
2021-11-23 13:33:47,6,3,Angel,Robin,0,0,0,0,0,0,0,0,0,0,0,13.019292,13.011927,0.43786997,0.7928994,0.77833,0.7810651,0.6600398
2021-11-23 13:33:51,6,3,Robin,Kaden,0,0,0,0,0,0,0,0,0,0,0,9.099284,9.075548,-0.65680385,0.7810651,0.6600398,0.79881656,0.5775348
