Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2021-11-23 12:16:30,2,1,Milan,Sean,0,0,0,0,0,0,0,0,0,0,0,11.015404,4.701792,-9.961539,0.23372781,0.694831,0.5029586,0.65208745
2021-11-23 12:16:36,2,1,Sean,Matthias,0,0,0,0,0,0,0,0,0,0,0,11.540187,7.763414,-8.538461,0.5029586,0.65208745,0.7337278,0.58151096
2021-11-23 12:16:45,2,1,Matthias,Kevin,1,1,0,1,0,0,1,0,0,0,0,41.896038,41.87873,1.2041419,0.7337278,0.58151096,0.70118344,0.20079523
2021-11-23 12:18:10,2,2,Sean,Will Stone,0,0,0,0,0,0,0,0,0,0,0,13.677875,8.200792,-10.946746,0.3402367,0.6759443,0.6360947,0.6013917
2021-11-23 12:18:20,2,2,Will Stone,Matthias,1,1,0,1,0,0,1,0,0,0,0,44.651127,44.61233,-1.8609457,0.6360947,0.6013917,0.6863905,0.19582506
2021-11-23 12:19:50,2,3,Milan,Sean,0,0,0,0,0,0,0,0,0,0,0,10.955479,0.43737173,-10.946745,0.21301775,0.6829026,0.5088757,0.67892647
2021-11-23 12:20:09,2,3,Sean,Will Stone,0,0,0,0,0,0,0,1,0,0,1,18.477766,4.373763,17.952662,0.5088757,0.67892647,0.02366864,0.639165
2021-11-23 12:20:16,2,3,Will Stone,Sean,0,0,0,0,0,0,0,0,1,1,0,13.22654,-8.310142,-10.289941,0.02366864,0.639165,0.30177516,0.7147117
2021-11-23 12:20:23,2,3,Sean,Robin,0,0,0,0,0,0,0,0,0,0,0,20.34196,13.12127,-15.544378,0.30177516,0.7147117,0.7218935,0.59542745
2021-11-23 12:20:37,2,3,Robin,Milan,0,0,0,0,0,1,0,0,0,0,1,13.891676,12.355866,-6.3491135,0.7218935,0.59542745,0.89349115,0.4831014
2021-11-23 12:20:44,2,3,Milan,Kevin,0,0,0,1,1,0,1,0,0,1,0,35.212082,32.256462,14.121303,0.89349115,0.4831014,0.5118343,0.18986084
2021-11-23 12:22:03,4,1,Milan,Sean,0,0,0,0,0,0,0,0,0,0,0,7.4703617,3.9363785,-6.3491125,0.3224852,0.6759443,0.49408284,0.6401591
2021-11-23 12:23:04,4,1,Sean,Matthias,0,0,0,0,0,0,1,0,0,0,0,44.28233,43.956264,5.3639054,0.49408284,0.6401591,0.34911242,0.24055666
2021-11-23 12:23:12,4,1,Matthias,Milan,0,0,0,0,0,0,0,0,1,0,0,8.079732,-3.3896637,-7.33432,0.34911242,0.24055666,0.5473373,0.27137178
2021-11-23 12:23:20,4,1,Milan,Matthias,0,0,0,0,0,0,0,0,0,0,0,8.212924,6.1232615,-5.4733715,0.5473373,0.27137178,0.69526625,0.21570577
2021-11-23 12:23:27,4,1,Matthias,Milan,0,0,0,0,0,0,0,0,1,0,0,10.635015,-4.264412,9.742603,0.69526625,0.21570577,0.43195266,0.25447315
2021-11-23 12:23:33,4,1,Milan,Will Stone,0,0,0,0,0,0,0,1,0,0,1,11.840449,2.8429408,11.494082,0.43195266,0.25447315,0.12130178,0.22862823
2021-11-23 12:23:40,4,1,Will Stone,Milan,1,1,1,0,0,0,0,1,0,1,0,13.276353,-6.4512906,-11.603551,0.12130178,0.22862823,0.43491125,0.28727633
2021-11-23 12:25:45,4,2,Milan,Sam,0,0,0,0,0,0,0,1,0,0,0,12.29225,-1.8588495,12.1508875,0.65680474,0.5328032,0.32840237,0.5497018
2021-11-23 12:25:49,4,2,Sam,Milan,0,0,0,0,0,0,0,0,1,0,0,6.975099,-6.888664,1.094675,0.32840237,0.5497018,0.29881656,0.612326
2021-11-23 12:25:58,4,2,Milan,Justin,0,0,0,0,0,0,0,0,0,0,0,10.96241,10.3876705,-3.5029585,0.29881656,0.612326,0.39349112,0.51789266
2021-11-23 12:26:04,4,2,Justin,Sean,0,0,0,0,0,0,0,1,0,0,0,14.282412,7.3260455,-12.260356,0.39349112,0.51789266,0.7248521,0.45129225
2021-11-23 12:26:21,4,2,Sean,Will Stone,0,0,0,0,0,0,0,1,0,0,0,15.769381,-0.437375,15.763314,0.7248521,0.45129225,0.29881656,0.45526838
2021-11-23 12:26:34,4,2,Will Stone,Milan,0,0,0,0,0,1,0,0,0,0,0,15.700197,14.870773,5.035503,0.29881656,0.45526838,0.16272189,0.32007954
2021-11-23 12:26:36,4,2,Milan,Sam,0,0,0,1,1,0,0,0,0,0,1,13.052175,12.902586,1.970414,0.16272189,0.32007954,0.109467454,0.2027833
2021-11-23 12:28:07,6,1,Milan,Kevin,0,0,0,0,0,0,0,0,0,1,0,14.507493,8.091449,-12.041421,0.13609467,0.6163022,0.46153846,0.54274356
2021-11-23 12:28:14,6,1,Kevin,Will Stone,0,0,0,0,0,0,0,1,0,0,0,13.718396,7.6540775,-11.384616,0.46153846,0.54274356,0.7692308,0.47316104
2021-11-23 12:28:20,6,1,Will Stone,Kevin,0,0,0,0,0,1,0,0,0,0,0,8.382413,8.091453,-2.1893477,0.7692308,0.47316104,0.82840234,0.39960238
2021-11-23 12:28:28,6,1,Kevin,Matthias,0,0,0,1,1,0,0,0,0,0,0,22.417912,22.415506,0.32840192,0.82840234,0.39960238,0.8195266,0.19582506
2021-11-23 12:30:13,7,1,Dale,Milan,0,0,0,0,0,0,0,0,1,0,0,10.549229,-4.045721,9.742605,0.7810651,0.5695825,0.51775146,0.6063618
2021-11-23 12:30:20,7,1,Milan,Grant,0,0,0,0,0,0,0,0,0,0,1,17.754997,11.043735,-13.902369,0.51775146,0.6063618,0.89349115,0.5059642
2021-11-23 12:30:25,7,1,Grant,Milan,0,0,0,0,0,0,0,0,0,1,1,7.7826905,7.76342,0.547338,0.89349115,0.5059642,0.8786982,0.43538767
