"X_0","Y_0","X","Y","Score_Prob"
1,95,1,95,0.45
2,95,1,95,0.45
3,95,1,95,0.39
4,95,1,95,0.38
5,95,1,95,0.36
6,95,1,95,0.4
7,95,1,95,0.34
8,95,1,95,0.36
9,95,1,95,0.44
10,95,1,95,0.41
1,90,1,95,0.46
2,90,1,95,0.41
3,90,1,95,0.4
4,90,1,95,0.41
5,90,1,95,0.38
6,90,1,95,0.41
7,90,1,95,0.35
8,90,1,95,0.37
9,90,1,95,0.43
10,90,1,95,0.41
1,85,1,95,0.46
2,85,1,95,0.42
3,85,1,95,0.42
4,85,1,95,0.43
5,85,1,95,0.36
6,85,1,95,0.41
7,85,1,95,0.37
8,85,1,95,0.39
9,85,1,95,0.42
10,85,1,95,0.42
1,80,1,95,0.47
2,80,1,95,0.44
3,80,1,95,0.43
4,80,1,95,0.44
5,80,1,95,0.38
6,80,1,95,0.37
7,80,1,95,0.39
8,80,1,95,0.41
9,80,1,95,0.42
10,80,1,95,0.43
1,75,1,95,0.46
2,75,1,95,0.45
3,75,1,95,0.41
4,75,1,95,0.43
5,75,1,95,0.43
6,75,1,95,0.43
7,75,1,95,0.41
8,75,1,95,0.42
9,75,1,95,0.42
10,75,1,95,0.45
1,70,1,95,0.44
2,70,1,95,0.43
3,70,1,95,0.42
4,70,1,95,0.46
5,70,1,95,0.45
6,70,1,95,0.47
7,70,1,95,0.45
8,70,1,95,0.44
9,70,1,95,0.41
10,70,1,95,0.45
1,65,1,95,0.37
2,65,1,95,0.42
3,65,1,95,0.41
4,65,1,95,0.43
5,65,1,95,0.5
6,65,1,95,0.44
7,65,1,95,0.45
8,65,1,95,0.44
9,65,1,95,0.46
10,65,1,95,0.46
1,60,1,95,0.39
2,60,1,95,0.41
3,60,1,95,0.41
4,60,1,95,0.41
5,60,1,95,0.53
6,60,1,95,0.5
7,60,1,95,0.44
8,60,1,95,0.41
9,60,1,95,0.44
10,60,1,95,0.47
1,55,1,95,0.41
2,55,1,95,0.41
3,55,1,95,0.4
4,55,1,95,0.45
5,55,1,95,0.55
6,55,1,95,0.55
7,55,1,95,0.48
8,55,1,95,0.38
9,55,1,95,0.41
10,55,1,95,0.48
1,50,1,95,0.5
2,50,1,95,0.41
3,50,1,95,0.4
4,50,1,95,0.46
5,50,1,95,0.52
6,50,1,95,0.52
7,50,1,95,0.5
8,50,1,95,0.39
9,50,1,95,0.42
10,50,1,95,0.5
1,45,1,95,0.47
2,45,1,95,0.46
3,45,1,95,0.48
4,45,1,95,0.51
5,45,1,95,0.46
6,45,1,95,0.54
7,45,1,95,0.5
8,45,1,95,0.44
9,45,1,95,0.45
10,45,1,95,0.47
1,40,1,95,0.43
2,40,1,95,0.46
3,40,1,95,0.47
4,40,1,95,0.56
5,40,1,95,0.48
6,40,1,95,0.5
7,40,1,95,0.49
8,40,1,95,0.42
9,40,1,95,0.45
10,40,1,95,0.49
1,35,1,95,0.45
2,35,1,95,0.44
3,35,1,95,0.48
4,35,1,95,0.55
5,35,1,95,0.51
6,35,1,95,0.51
7,35,1,95,0.49
8,35,1,95,0.43
9,35,1,95,0.44
10,35,1,95,0.46
1,30,1,95,0.49
2,30,1,95,0.41
3,30,1,95,0.45
4,30,1,95,0.53
5,30,1,95,0.52
6,30,1,95,0.52
7,30,1,95,0.46
